Latitude,Longitude,Carbohydrate,Lignin,Lignin_cellulose,Temperature
47.51,-93.45,0.020349815,0.002285477,0.022635292,4.55
47.51,-93.45,0.021902236,0.001851246,0.023753482,13.55
47.51,-93.45,0.022777797,0.002716659,0.025494456,6.8
47.51,-93.45,0.022700197,0.002849085,0.025549282,9.05
47.51,-93.45,0.020273845,0.001622208,0.021896053,13.55
47.51,-93.45,0.022119299,0.002213041,0.024332339,13.55
47.51,-93.45,0.020464623,0.002132483,0.022597106,4.55
47.51,-93.45,0.016484546,0.001734166,0.018218712,11.3
47.51,-93.45,0.019740298,0.001604436,0.021344734,9.05
47.51,-93.45,0.020394142,0.001576566,0.021970708,13.55
47.51,-93.45,0.021322087,0.001838256,0.023160343,9.05
47.51,-93.45,0.018867875,0.001615139,0.020483013,4.55
47.51,-93.45,0.019190995,0.001774918,0.020965914,4.55
47.51,-93.45,0.018517993,0.001521703,0.020039697,9.05
47.51,-93.45,0.017314561,0.002375809,0.019690369,4.55
47.51,-93.45,0.020416015,0.002665138,0.023081153,9.05
47.51,-93.45,0.018792606,0.00174805,0.020540656,4.55
47.51,-93.45,0.017925119,0.001358711,0.01928383,9.05
47.51,-93.45,0.018270908,0.001714773,0.019985682,9.05
47.51,-93.45,0.018145052,0.001632239,0.01977729,13.55
47.51,-93.45,0.020519777,0.001496517,0.022016295,6.8
47.51,-93.45,0.017911206,0.001323227,0.019234434,13.55
47.51,-93.45,0.019781871,0.001788045,0.021569917,4.55
47.51,-93.45,0.020033829,0.001899034,0.021932863,6.8
47.51,-93.45,0.018794905,0.001709236,0.020504141,11.3
47.51,-93.45,0.018733026,0.001728001,0.020461027,13.55
47.51,-93.45,0.018075011,0.001366385,0.019441396,6.8
47.51,-93.45,0.018645939,0.001755317,0.020401256,4.55
47.51,-93.45,0.017881231,0.001792931,0.019674162,11.3
47.51,-93.45,0.01875641,0.00143214,0.02018855,6.8
47.51,-93.45,0.019198057,0.001812466,0.021010523,11.3
47.51,-93.45,0.019437732,0.001610053,0.021047785,13.55
47.51,-93.45,0.019261243,0.001573112,0.020834356,4.55
47.51,-93.45,0.018630052,0.001768942,0.020398995,6.8
47.51,-93.45,0.020553742,0.001725809,0.02227955,4.55
47.51,-93.45,0.019956247,0.001576607,0.021532853,4.55
47.51,-93.45,0.019363965,0.001973111,0.021337075,6.8
47.51,-93.45,0.019006188,0.001761943,0.020768131,11.3
47.51,-93.45,0.020210433,0.001840807,0.022051239,9.05
47.51,-93.45,0.019378918,0.002169201,0.021548119,9.05
47.51,-93.45,0.019325331,0.002529707,0.021855038,6.8
47.51,-93.45,0.021423684,0.002169887,0.023593571,13.55
47.51,-93.45,0.017109355,0.00246004,0.019569395,6.8
47.51,-93.45,0.020933383,0.002302475,0.023235858,11.3
47.51,-93.45,0.020152117,0.001941592,0.022093709,13.55
47.51,-93.45,0.019032036,0.0024342,0.021466236,11.3
47.51,-93.45,0.021205378,0.002591131,0.023796509,4.55
47.51,-93.45,0.022301712,0.002371306,0.024673018,4.55
47.51,-93.45,0.022053568,0.002298758,0.024352326,4.55
